n,threads,tempo
100,2,0.002680
200,2,0.003848
300,2,0.013736
400,2,0.029808
500,2,0.056744
600,2,0.102018
700,2,0.174007
800,2,0.278957
900,2,0.494525
1000,2,0.764695
100,4,0.000972
200,4,0.002685
300,4,0.007313
400,4,0.015513
500,4,0.035863
600,4,0.065769
700,4,0.087975
800,4,0.198378
900,4,0.310924
1000,4,0.477249
100,6,0.000568
200,6,0.002121
300,6,0.005844
400,6,0.015416
500,6,0.027902
600,6,0.047485
700,6,0.080850
800,6,0.119067
900,6,0.241345
1000,6,0.370373
100,8,0.000679
200,8,0.001686
300,8,0.004574
400,8,0.011646
500,8,0.021218
600,8,0.040014
700,8,0.067207
800,8,0.113364
900,8,0.210398
1000,8,0.376809
