n,threads,tempo_seq,tempo_par,speedup
100,2,0.000914,0.000788,1.159983
100,4,0.000914,0.013962,0.065476
100,6,0.000914,0.013950,0.065534
100,8,0.000914,0.004635,0.197238
200,2,0.008965,0.011118,0.806407
200,4,0.008965,0.007391,1.213081
200,6,0.008965,0.003769,2.378640
200,8,0.008965,0.003451,2.597603
300,2,0.028900,0.014606,1.978577
300,4,0.028900,0.006977,4.142224
300,6,0.028900,0.007774,3.717655
300,8,0.028900,0.007004,4.125938
400,2,0.075349,0.030965,2.433349
400,4,0.075349,0.016900,4.458618
400,6,0.075349,0.015811,4.765534
400,8,0.075349,0.016529,4.558664
500,2,0.130012,0.065659,1.980101
500,4,0.130012,0.036274,3.584130
500,6,0.130012,0.029512,4.405405
500,8,0.130012,0.031428,4.136829
600,2,0.217199,0.117516,1.848251
600,4,0.217199,0.062027,3.501677
600,6,0.217199,0.048972,4.435119
600,8,0.217199,0.052275,4.154953
700,2,0.343460,0.179886,1.909319
700,4,0.343460,0.096578,3.556276
700,6,0.343460,0.068932,4.982595
700,8,0.343460,0.082187,4.178988
800,2,0.597829,0.337283,1.772484
800,4,0.597829,0.173777,3.440210
800,6,0.597829,0.118432,5.047844
800,8,0.597829,0.135636,4.407592
900,2,1.166678,0.498669,2.339586
900,4,1.166678,0.244531,4.771088
900,6,1.166678,0.181020,6.445010
900,8,1.166678,0.210013,5.555263
1000,2,1.485466,0.864527,1.718242
1000,4,1.485466,0.425375,3.492134
1000,6,1.485466,0.293227,5.065923
1000,8,1.485466,0.328157,4.526695
